id ,name,district_id,created_at,updated_at,,,,,,,
1,Bumbogo,1,2020-04-11 20:33:01,2020-04-11 20:33:01,,,,,,,
2,Gatsata,1,2020-04-11 20:33:02,2020-04-11 20:33:02,,,,,,,
3,Gikomero,1,2020-04-11 20:33:03,2020-04-11 20:33:03,,,,,,,
4,Gisozi,1,2020-04-11 20:33:04,2020-04-11 20:33:04,,,,,,,
5,Jabana,1,2020-04-11 20:33:05,2020-04-11 20:33:05,,,,,,,
6,Jali,1,2020-04-11 20:33:06,2020-04-11 20:33:06,,,,,,,
7,Kacyiru,1,2020-04-11 20:33:07,2020-04-11 20:33:07,,,,,,,
8,Kimihurura,1,2020-04-11 20:33:08,2020-04-11 20:33:08,,,,,,,
9,Kimiromko,1,2020-04-11 20:33:09,2020-04-11 20:33:09,,,,,,,
10,Kinyinya,1,2020-04-11 20:33:10,2020-04-11 20:33:10,,,,,,,
11,Ndera,1,2020-04-11 20:33:11,2020-04-11 20:33:11,,,,,,,
12,Nduba,1,2020-04-11 20:33:12,2020-04-11 20:33:12,,,,,,,
13,Remera,1,2020-04-11 20:33:13,2020-04-11 20:33:13,,,,,,,
14,Rusororo,1,2020-04-11 20:33:14,2020-04-11 20:33:14,,,,,,,
15,Rutunga,1,2020-04-11 20:33:15,2020-04-11 20:33:15,,,,,,,
16,Gashora,4,2020-04-11 20:33:16,2020-04-11 20:33:16,,,,,,,
17,Juru,4,2020-04-11 20:33:17,2020-04-11 20:33:17,,,,,,,
18,Kamabuye,4,2020-04-11 20:33:18,2020-04-11 20:33:18,,,,,,,
19,Mareba,4,2020-04-11 20:33:19,2020-04-11 20:33:19,,,,,,,
20,Mayange,4,2020-04-11 20:33:20,2020-04-11 20:33:20,,,,,,,
21,Musenyi,4,2020-04-11 20:33:21,2020-04-11 20:33:21,,,,,,,
22,Mwogo,4,2020-04-11 20:33:22,2020-04-11 20:33:22,,,,,,,
23,Ngeruka,4,2020-04-11 20:33:23,2020-04-11 20:33:23,,,,,,,
24,Ntarama,4,2020-04-11 20:33:24,2020-04-11 20:33:24,,,,,,,
25,Nyamata,4,2020-04-11 20:33:25,2020-04-11 20:33:25,,,,,,,
26,Nyarugenge,4,2020-04-11 20:33:26,2020-04-11 20:33:26,,,,,,,
27,Rilima,4,2020-04-11 20:33:27,2020-04-11 20:33:27,,,,,,,
28,Ruhuha,4,2020-04-11 20:33:28,2020-04-11 20:33:28,,,,,,,
29,Rweru,4,2020-04-11 20:33:29,2020-04-11 20:33:29,,,,,,,
30,Shyara,4,2020-04-11 20:33:30,2020-04-11 20:33:30,,,,,,,
31,Bungwe,11,2020-04-11 20:33:01,2020-04-11 20:33:01,,,,,,,
32,Butaro,11,2020-04-11 20:33:02,2020-04-11 20:33:02,,,,,,,
33,Cyanika,11,2020-04-11 20:33:03,2020-04-11 20:33:03,,,,,,,
34,Cyeru,11,2020-04-11 20:33:04,2020-04-11 20:33:04,,,,,,,
35,Gahunga,11,2020-04-11 20:33:05,2020-04-11 20:33:05,,,,,,,
36,Gatebe,11,2020-04-11 20:33:06,2020-04-11 20:33:06,,,,,,,
37,Gitovu,11,2020-04-11 20:33:07,2020-04-11 20:33:07,,,,,,,
38,Kagogo,11,2020-04-11 20:33:08,2020-04-11 20:33:08,,,,,,,
39,Kinoni,11,2020-04-11 20:33:09,2020-04-11 20:33:09,,,,,,,
40,Kinyababa,11,2020-04-11 20:33:10,2020-04-11 20:33:10,,,,,,,
41,Kivuye,11,2020-04-11 20:33:11,2020-04-11 20:33:11,,,,,,,
42,Nemba,11,2020-04-11 20:33:12,2020-04-11 20:33:12,,,,,,,
43,Rugarama,11,2020-04-11 20:33:13,2020-04-11 20:33:13,,,,,,,
44,Rugengabari,11,2020-04-11 20:33:14,2020-04-11 20:33:14,,,,,,,
45,Ruhunde,11,2020-04-11 20:33:15,2020-04-11 20:33:15,,,,,,,
46,Rusarabuye,11,2020-04-11 20:33:16,2020-04-11 20:33:16,,,,,,,
47,Rwerere,11,2020-04-11 20:33:17,2020-04-11 20:33:17,,,,,,,
48,Busengo,12,2020-04-11 20:33:18,2020-04-11 20:33:18,,,,,,,
49,Coko,12,2020-04-11 20:33:19,2020-04-11 20:33:19,,,,,,,
50,Cyabingo,12,2020-04-11 20:33:20,2020-04-11 20:33:20,,,,,,,
51,Gakenke,12,2020-04-11 20:33:21,2020-04-11 20:33:21,,,,,,,
52,Gashenyi,12,2020-04-11 20:33:22,2020-04-11 20:33:22,,,,,,,
53,Janja,12,2020-04-11 20:33:23,2020-04-11 20:33:23,,,,,,,
54,Kamubuga,12,2020-04-11 20:33:24,2020-04-11 20:33:24,,,,,,,
55,Karambo,12,2020-04-11 20:33:25,2020-04-11 20:33:25,,,,,,,
56,Kivuruga,12,2020-04-11 20:33:26,2020-04-11 20:33:26,,,,,,,
57,Mataba,12,2020-04-11 20:33:27,2020-04-11 20:33:27,,,,,,,
58,Minazi,12,2020-04-11 20:33:28,2020-04-11 20:33:28,,,,,,,
59,Mugunga,12,2020-04-11 20:33:29,2020-04-11 20:33:29,,,,,,,
60,Muhondo,12,2020-04-11 20:33:01,2020-04-11 20:33:01,,,,,,,
61,Muyongwe,12,2020-04-11 20:33:02,2020-04-11 20:33:02,,,,,,,
62,Muzo,12,2020-04-11 20:33:03,2020-04-11 20:33:03,,,,,,,
63,Nemba,12,2020-04-11 20:33:04,2020-04-11 20:33:04,,,,,,,
64,Ruli,12,2020-04-11 20:33:05,2020-04-11 20:33:05,,,,,,,
65,Rusasa,12,2020-04-11 20:33:06,2020-04-11 20:33:06,,,,,,,
66,Rushashi,12,2020-04-11 20:33:07,2020-04-11 20:33:07,,,,,,,
67,Gasange,5,2020-04-11 20:33:08,2020-04-11 20:33:08,,,,,,,
68,Gatsibo,5,2020-04-11 20:33:09,2020-04-11 20:33:09,,,,,,,
69,Gitoki,5,2020-04-11 20:33:10,2020-04-11 20:33:10,,,,,,,
70,Kabarore,5,2020-04-11 20:33:11,2020-04-11 20:33:11,,,,,,,
71,Kageyo,5,2020-04-11 20:33:12,2020-04-11 20:33:12,,,,,,,
72,Kiramuruzi,5,2020-04-11 20:33:13,2020-04-11 20:33:13,,,,,,,
73,Kiziguro,5,2020-04-11 20:33:14,2020-04-11 20:33:14,,,,,,,
74,Muhura,5,2020-04-11 20:33:15,2020-04-11 20:33:15,,,,,,,
75,Murambi,5,2020-04-11 20:33:16,2020-04-11 20:33:16,,,,,,,
76,Ngarama,5,2020-04-11 20:33:17,2020-04-11 20:33:17,,,,,,,
77,Nyagihanga,5,2020-04-11 20:33:18,2020-04-11 20:33:18,,,,,,,
78,Remera,5,2020-04-11 20:33:19,2020-04-11 20:33:19,,,,,,,
79,Rugarama,5,2020-04-11 20:33:20,2020-04-11 20:33:20,,,,,,,
80,Rwimbogo,5,2020-04-11 20:33:21,2020-04-11 20:33:21,,,,,,,
81,Bukure,13,2020-04-11 20:33:22,2020-04-11 20:33:22,,,,,,,
82,Bwisige,13,2020-04-11 20:33:23,2020-04-11 20:33:23,,,,,,,
83,Byumba,13,2020-04-11 20:33:24,2020-04-11 20:33:24,,,,,,,
84,Cyumba,13,2020-04-11 20:33:25,2020-04-11 20:33:25,,,,,,,
85,Giti,13,2020-04-11 20:33:26,2020-04-11 20:33:26,,,,,,,
86,Kageyo,13,2020-04-11 20:33:27,2020-04-11 20:33:27,,,,,,,
87,Kaniga,13,2020-04-11 20:33:28,2020-04-11 20:33:28,,,,,,,
88,Manyagiro,13,2020-04-11 20:33:29,2020-04-11 20:33:29,,,,,,,
89,Miyove,13,2020-04-11 20:33:30,2020-04-11 20:33:30,,,,,,,
90,Mukarange,13,2020-04-11 20:33:31,2020-04-11 20:33:31,,,,,,,
91,Muko,13,2020-04-11 20:33:32,2020-04-11 20:33:32,,,,,,,
92,Mutete,13,2020-04-11 20:33:33,2020-04-11 20:33:33,,,,,,,
93,Nyamiyaga,13,2020-04-11 20:33:34,2020-04-11 20:33:34,,,,,,,
94,Nyankenke,13,2020-04-11 20:33:35,2020-04-11 20:33:35,,,,,,,
95,Rubaya,13,2020-04-11 20:33:36,2020-04-11 20:33:36,,,,,,,
96,Rukomo,13,2020-04-11 20:33:37,2020-04-11 20:33:37,,,,,,,
97,Rushaki,13,2020-04-11 20:33:38,2020-04-11 20:33:38,,,,,,,
98,Rutare,13,2020-04-11 20:33:39,2020-04-11 20:33:39,,,,,,,
99,Ruvune,13,2020-04-11 20:33:40,2020-04-11 20:33:40,,,,,,,
